"Species","Longitude","Latitude"
"Cyclorana brevipes",144.0657,-14.894
"Cyclorana brevipes",144.0657,-15.194
"Cyclorana brevipes",144.0657,-16.694
"Cyclorana brevipes",144.0657,-15.494
"Cyclorana brevipes",144.0657,-16.294
"Cyclorana brevipes",144.0657,-16.594
"Cyclorana brevipes",144.0657,-15.294
"Cyclorana brevipes",144.0657,-14.994
"Cyclorana brevipes",144.0657,-16.794
"Cyclorana brevipes",144.0657,-15.794
"Cyclorana brevipes",144.0657,-15.694
"Cyclorana brevipes",144.0657,-14.494
"Cyclorana brevipes",144.0657,-15.094
"Cyclorana brevipes",144.0657,-14.794
"Cyclorana brevipes",144.0657,-16.194
"Cyclorana brevipes",144.0657,-16.494
"Cyclorana brevipes",144.0657,-15.894
"Cyclorana brevipes",144.0657,-14.394
"Cyclorana brevipes",144.0657,-15.994
"Cyclorana brevipes",144.0657,-16.394
"Cyclorana brevipes",144.0657,-16.094
"Cyclorana brevipes",144.0657,-14.594
"Cyclorana brevipes",144.0657,-18.294
"Cyclorana brevipes",144.0657,-14.694
"Cyclorana brevipes",144.0657,-18.494
"Cyclorana brevipes",144.0657,-16.894
"Cyclorana brevipes",144.0657,-18.394
"Cyclorana brevipes",144.0657,-20.294
"Cyclorana brevipes",144.0657,-20.394
"Cyclorana brevipes",144.0657,-21.194
"Cyclorana brevipes",144.0657,-20.494
"Cyclorana brevipes",144.0657,-21.094
"Cyclorana brevipes",144.0657,-20.894
"Cyclorana brevipes",144.0657,-20.794
"Cyclorana brevipes",144.0657,-20.694
"Cyclorana brevipes",144.0657,-20.994
"Cyclorana brevipes",144.0657,-20.594
"Cyclorana brevipes",144.0657,-21.294
"Cyclorana brevipes",144.0657,-19.894
"Cyclorana brevipes",144.0657,-21.494
"Cyclorana brevipes",144.0657,-20.194
"Cyclorana brevipes",144.0657,-19.994
"Cyclorana brevipes",144.0657,-21.394
"Cyclorana brevipes",144.0657,-20.094
"Cyclorana brevipes",144.1657,-16.494
"Cyclorana brevipes",144.1657,-16.594
"Cyclorana brevipes",144.1657,-16.694
"Cyclorana brevipes",144.1657,-14.994
"Cyclorana brevipes",144.1657,-16.094
"Cyclorana brevipes",144.1657,-15.994
"Cyclorana brevipes",144.1657,-14.594
"Cyclorana brevipes",144.1657,-14.294
"Cyclorana brevipes",144.1657,-15.094
"Cyclorana brevipes",144.1657,-15.294
"Cyclorana brevipes",144.1657,-15.194
"Cyclorana brevipes",144.1657,-15.894
"Cyclorana brevipes",144.1657,-16.194
"Cyclorana brevipes",144.1657,-14.494
"Cyclorana brevipes",144.1657,-14.794
"Cyclorana brevipes",144.1657,-16.394
"Cyclorana brevipes",144.1657,-14.894
"Cyclorana brevipes",144.1657,-14.394
"Cyclorana brevipes",144.1657,-16.794
"Cyclorana brevipes",144.1657,-14.694
"Cyclorana brevipes",144.1657,-15.794
"Cyclorana brevipes",144.1657,-15.694
"Cyclorana brevipes",144.1657,-16.294
"Cyclorana brevipes",144.1657,-21.094
"Cyclorana brevipes",144.1657,-21.594
"Cyclorana brevipes",144.1657,-21.394
"Cyclorana brevipes",144.1657,-20.094
"Cyclorana brevipes",144.1657,-20.594
"Cyclorana brevipes",144.1657,-21.194
"Cyclorana brevipes",144.1657,-20.794
"Cyclorana brevipes",144.1657,-20.994
"Cyclorana brevipes",144.1657,-20.494
"Cyclorana brevipes",144.1657,-19.994
"Cyclorana brevipes",144.1657,-20.394
"Cyclorana brevipes",144.1657,-21.494
"Cyclorana brevipes",144.1657,-20.894
"Cyclorana brevipes",144.1657,-20.194
"Cyclorana brevipes",144.1657,-20.694
"Cyclorana brevipes",144.1657,-21.294
"Cyclorana brevipes",144.2657,-14.294
"Cyclorana brevipes",144.2657,-14.394
"Cyclorana brevipes",144.2657,-15.794
"Cyclorana brevipes",144.2657,-14.494
"Cyclorana brevipes",144.2657,-16.394
"Cyclorana brevipes",144.2657,-14.594
"Cyclorana brevipes",144.2657,-15.294
"Cyclorana brevipes",144.2657,-16.294
"Cyclorana brevipes",144.2657,-16.494
"Cyclorana brevipes",144.2657,-15.694
"Cyclorana brevipes",144.2657,-15.994
"Cyclorana brevipes",144.2657,-15.494
"Cyclorana brevipes",144.2657,-14.694
"Cyclorana brevipes",144.2657,-16.994
"Cyclorana brevipes",144.2657,-16.094
"Cyclorana brevipes",144.2657,-14.994
"Cyclorana brevipes",144.2657,-16.694
"Cyclorana brevipes",144.2657,-15.394
"Cyclorana brevipes",144.2657,-16.594
"Cyclorana brevipes",144.2657,-14.794
"Cyclorana brevipes",144.2657,-14.894
"Cyclorana brevipes",144.2657,-14.194
"Cyclorana brevipes",144.2657,-15.894
"Cyclorana brevipes",144.2657,-16.894
"Cyclorana brevipes",144.2657,-16.194
"Cyclorana brevipes",144.2657,-15.194
"Cyclorana brevipes",144.2657,-15.094
"Cyclorana brevipes",144.2657,-20.294
