Name_spatial,Name_tree
Cyclorana australis,C_australis
Cyclorana brevipes,C_brevipes_ABTC7078
Cyclorana cryptotis,C_cryptotis_ABTC12709
Cyclorana cultripes,C_cultripes_ABTC77054
Cyclorana longipes,C_longipes
Cyclorana maculosa,C_maculosa_ABTC70687
Cyclorana maini,C_maini
Cyclorana manya,C_manya_ABTC64861
Cyclorana novaehollandiae,C_novaehollandiae_ABTC77059
Cyclorana platycephala,C_platycephala_ABTC_35997
Cyclorana vagita,C_vagita_ABTC16894
Cyclorana verrucosa,C_verrucosa_ABTC12677
Litoria adelaidensis,L_adelaidensis
Litoria alboguttata,L_alboguttata
Litoria andiirrmalin,L_andiirrmalin
Litoria aurea,L_aurea
Litoria barringtonensis,L_barringtonensis_ABTC25324
Litoria bicolor,L_bicolor
Litoria booroolongensis,L_booroolongensis_ABTC12243
Litoria brevipalmata,L_brevipalmata
Litoria burrowsae,L_burrowsi
Litoria caerulea,L_caerulea
Litoria castanea,L_castanea
Litoria cavernicola,L_cavernicola
Litoria chloris,L_chloris
Litoria citropa,L_citropa
Litoria cooloolensis,L_cooloolensis
Litoria coplandi,L_coplandi
Litoria cyclorhyncha,L_cyclorhyncha_ABTC28280
Litoria dahlii,L_dahlii
Litoria daviesae,L_daviesae_ABTC25287
Litoria dentata,L_dentata_ABTC1244
Litoria dorsalis,L_dorsalis_ABTC79181
Litoria electrica,L_electrica_ABTC16521
Litoria eucnemis,L_eucnemis_ABTC32215
Litoria eucnemis,L_eucnemis_ABTC48200
Litoria ewingii,L_ewingi
Litoria fallax,L_fallax
Litoria freycineti,L_freycineti
Litoria genimaculata,L_genimaculata
Litoria gilleni,L_gilleni
Litoria gracilenta,L_gracilenta
Litoria inermis,L_inermis
Litoria infrafrenata,L_infrafenata
Litoria jervisiensis,L_jervisiensis_ABTC25451
Litoria jungguy,L_jungguy_ABTC51179
Litoria latopalmata,L_latopalmata
Litoria lesueuri,L_lesueuri_ABTC12431
Litoria littlejohni,L_littlejohni_ABTC17597
Litoria longirostris,L_longirostris
Litoria lorica,L_lorica
Litoria meiriana,L_meirana
Litoria moorei,L_moorei_ABTC86625
Litoria nannotis,L_nannotis
Litoria nasuta,L_nasuta
Litoria nigrofrenata,L_nigrofrenata_ABTC58969
Litoria nudidigita,L_nudidigitus_ABTC60187
Litoria nyakalensis,L_nyakalensis_ABTC16000
Litoria olongburensis,L_olongburensis_ABTC24911
Litoria pallida,L_pallida
Litoria paraewingi,L_paraewingi_ABTC40923
Litoria pearsoniana,L_pearsoniana_ABTC25054
Litoria peronii,L_peroni
Litoria personata,L_personata_ABTC28326
Litoria phyllochroa,L_phyllochroa_ABTC25677
Litoria raniformis,L_raniformis
Litoria revelata,L_revelata_ABTC80816
Litoria rheocola,L_rheocola
Litoria rothii,L_rothi
Litoria rubella,L_rubella
Litoria spenceri,L_spenceri_ABTC17719
Litoria splendida,L_splendida
Litoria staccato,L_staccato
Litoria subglandulosa,L_subglandulosa_ABTC25803
Litoria tornieri,L_tornieri
Litoria tyleri,L_tyleri
Litoria verreauxii,L_verreauxii_ABTC24897
Litoria wilcoxii,L_wilcoxii
Litoria wotjulumensis,L_wotjulumensis
Litoria xanthomera,L_xanthomera
Nyctimystes dayi,N_dayi
